Year,Solar,Wind,Small hydro power,Biomass,Biogas,MSW,Large hydro power,Geothermal
2009,47.6,3.4,169.7,6320.9,364.0,1.1,0.0,0.0
2010,62.8,3.4,179.1,8594.5,538.4,2.3,0.0,0.0
2011,95.4,4.7,218.3,10970.5,301.6,4.7,0.0,0.0
2012,492.9,140.8,316.9,11165.8,1021.0,222.9,0.0,0.0
2013,1082.0,302.0,334.0,12198.0,1533.0,291.0,0.0,0.0
2014,1385.0,305.0,375.0,13356.0,1479.0,317.0,0.0,0.0
2015,2378.0,328.8,291.4,12961.1,1080.8,520.3,699.5,0.0
2016,3377.1,345.4,312.4,16446.1,595.3,683.1,3143.1,0.0
2017,4542.5,1109.9,503.5,15898.9,1722.6,1022.0,4220.4,0.0
2018,4536.6,1641.4,615.0,17616.5,1826.6,1540.5,6954.0,1.4
2019,5145.9,3670.3,440.5,19110.8,1908.6,2049.0,5689.9,1.3
