ภูมิภาค,นิวเคลียร์,เชื้อเพลิงฟอสซิล,น้ำ,Solar and wind,ถ่านหิน,ก๊าซธรรมชาติ,ปิโตรเลี่ยม,แสงอาทิตย์,ลม
United States,90.00,41.00,40.00,27.00,66.00,26.00,13.00,15.00,27.00
Canada,78.00,40.00,56.00,26.00,62.00,29.00,20.00,6.00,28.00
Mexico and Chile,73.00,50.00,37.00,23.00,64.00,51.00,40.00,10.00,24.00
Brazil,85.00,31.00,56.00,24.00,44.00,29.00,28.00,0.00,24.00
Other Central and South America,80.00,39.00,57.00,26.00,43.00,31.00,53.00,0,26.00
OECD Europe,77.00,42.00,40.00,18.00,51.00,39.00,19.00,11.00,22.00
Other non-OECD Europe and Eurasia,77.00,37.00,34.00,14.00,41.00,43.00,10.00,5.00,17.00
Russia,80.00,48.00,40.00,3.00,38.00,52.00,66.00,0,3.00
China,83.00,51.00,37.00,18.00,54.00,19.00,18.00,15.00,18.00
India,59.00,57.00,34.00,18.00,60.00,50.00,35.00,21.00,18.00
Japan,48.00,44.00,40.00,15.00,62.00,44.00,26.00,12.00,20.00
South Korea,88.00,60.00,25.00,16.00,82.00,40.00,43.00,12.00,22.00
Other non-OECD Asia,88.00,47.00,38.00,22.00,62.00,42.00,34.00,11.00,27.00
Middle East,9.00,48.00,15.00,23.00,21.00,39.00,84.00,8.00,26.00
Africa,79.00,56.00,49.00,27.00,73.00,44.00,54.00,20.00,28.00
Australia and New Zealand,0,51.00,32.00,25.00,65.00,31.00,33.00,9.00,30.00
Thailand,0,57.00,30.00,15.00,63.00,56.00,41.00,16.00,14.00
