Country,Region,Flag,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,Africa,https://public.flourish.studio/country-flags/svg/dz.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Americas,https://public.flourish.studio/country-flags/svg/ar.svg,0,0,0,0,0,0.039201628,0.038706655,0.049070523,0.035852185,0.035071896,0.039464646,0.034207897,0.035128332,0.034613654,0.050880118,0.052044157,0.046767416,0.058622419,0.080339335,0.057083671,0.062058325,0.058270394,0.056313346,0.062225997,0.063943328,0.057787972,0.053299092,0.050675119,0.051777,0.05644714,0.052567637,0.149213089,0.190280073,0.191073824,0.273974103,0.273278912,0.247817071,0.360867409,0.39861115,0.333838665,0.371088154,0.512171967,0.490039359,0.514648733,0.532381715,0.589499382,0.627280269,0.680488995,0.650619081,0.610244757,0.613504882,0.505352859,0.613062001,0.641478945,0.629134834
Australia,Oceania,https://public.flourish.studio/country-flags/svg/au.svg,0.202837521,0.177411519,0.170810259,0.156619998,0.149889731,0.127603244,0.122444968,0.124662476,0.140759041,0.168020995,0.188388061,0.180135952,0.152121061,0.140136262,0.139145469,0.127301059,0.132483537,0.169316445,0.141127977,0.138360082,0.141978559,0.13853774,0.137865592,0.20489255,0.216585544,0.199566139,0.190270492,0.175400956,0.170541541,0.170484609,0.196840412,0.22013976,0.226172273,0.239638924,0.240743854,0.188110431,0.166031352,0.25819881,0.337525957,0.540151841,0.740910288,0.705729863,0.754131695,0.639531917,0.484623755,0.422165676,0.427030276,0.516471292,0.547611298,0.570841606,0.579177204,0.566609097,0.546028499,0.535492925,0.501700158
Austria,Europe,https://public.flourish.studio/country-flags/svg/at.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.152325696,0.768757017,0.902131492,0.946218837,0.963252496,0.984586631,1.087003058,1.094514772,0.978930241,1.432823394,1.222511898,1.290055337,1.367739699,1.16022705,1.106977405,1.157153502,1.045815636,1.154962533,1.358003384,1.572532938,2.112158467,2.700213499,2.792451096,2.866695565,2.872675664,3.088747989,2.983354532,2.964317746,2.919563409,3.019217127,3.014129217,3.062302289,3.066329205,2.886103101
Azerbaijan,Asia,https://public.flourish.studio/country-flags/svg/az.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111855235,0.141560551,0.134475096,0.129567138,0.128139865,0.117912393,0.110251978
Bangladesh,Asia,https://public.flourish.studio/country-flags/svg/bd.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010739,0.002062676,0.002852576,0.003524814,0.004274774,0.004888486,0.004882539,0.005208572,0.004995087,0.00466481,0.003939401
Belarus,Europe,https://public.flourish.studio/country-flags/svg/by.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001757831,0.012514787,0.028983771,0.055276223,0.072469991,0.081903627,0.075338298,0.073285022,0.067980211,0.088474081,0.088415502,0.097128485,0.093095013,0.096088246
Belgium,Europe,https://public.flourish.studio/country-flags/svg/be.svg,0,0,0,0,0,0,0,0,0.056506069,0.054477993,0.044548703,0.028844139,0.124804668,0.125862341,0.148186452,0.147445749,0.150432525,0.024866174,0.012284447,0.012826888,0.02715053,0.059105985,0.06847639,0.085108199,0.089625059,0.124873251,0.127984393,0.114706687,0.106955845,0.101322154,0.131598508,0.121084456,0.105074689,0.134468367,0.187324376,0.20976558,0.220834599,0.266072954,0.302791919,0.362826498,0.559231623,0.776021652,0.895709433,1.120467755,1.416846789,1.455075142,1.684572254,1.92868514,1.790125612,1.716776239,2.086750344,1.891114769,1.971256923,1.905461557,1.69716527
Brazil,Americas,https://public.flourish.studio/country-flags/svg/br.svg,0,0,0,0,0,0.325412128,0.366432888,0.360244141,0.316116028,0.302232808,0.315838972,0.28663383,0.347679211,0.378142317,0.467387462,0.466734785,0.496457621,0.553141257,0.748606343,0.669964162,0.680280853,0.670620298,0.726555736,0.65614297,0.65731779,0.75449061,0.753201456,0.884079546,0.855555333,0.880738786,0.87020796,0.994282015,1.023895289,1.002604125,1.098617747,1.007311355,1.167051347,1.292530755,1.464561892,1.458008656,1.537627863,1.623242371,1.867694391,1.970094928,2.294969026,2.888616403,2.784042157,2.969266762,3.277946921,3.677659805,3.972481882,4.151924561,4.213226095,4.324291214,4.388063571
Bulgaria,Europe,https://public.flourish.studio/country-flags/svg/bg.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018361545,0.010397995,0.043504832,0.065032679,0.080467151,0.146683992,0.246156813,0.309849261,0.426366015,0.464378828,1.743676669,1.390311698
Canada,Americas,https://public.flourish.studio/country-flags/svg/ca.svg,0,0,0,0,0,0,0,0,0,0,0,0.083768203,0.119625167,0.125026049,0.144208047,0.136582496,0.20172373,0.235296616,0.23093106,0.243050188,0.169034027,0.187508261,0.224721363,0.232063953,0.321485849,0.372342173,0.374409439,0.409409205,0.432056425,0.495832159,0.60444346,0.620328505,0.667890751,0.745139588,0.718588022,0.696187886,0.768916919,0.769810464,0.713842711,0.729809262,0.670219852,0.65966991,0.637176345,0.564516035,0.664902106,0.745174277,0.703226791,0.755013453,0.736569396,0.643061397,0.65346531,0.741949658,0.695990653,0.629535919,0.681916611
Chile,Americas,https://public.flourish.studio/country-flags/svg/cl.svg,0,0,0,0,0,0,0.18921338,0.158269112,0.147262235,0.134277102,0.165315161,0.225058781,0.23781299,0.255502638,0.255404277,0.276283074,0.282084733,0.383922914,0.567402692,0.524046189,0.501369998,0.689039843,0.635644722,0.686961462,0.611241745,1.740641956,1.666515009,2.541933061,2.413452781,2.343496136,2.287658202,1.994120759,1.748265002,1.159494276,1.388499321,1.245355566,1.504311656,1.528165273,1.453400375,1.646620969,1.387755075,1.0324427,1.891928351,2.524654251,2.421721084,2.411065004,2.786773512,3.757628782,4.262557875,3.125918842,3.390142803,3.879284211,4.243792327,4.933729811,5.379456788
