Country,Region,Flag,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,Africa,https://public.flourish.studio/country-flags/svg/dz.svg,4.487363071,3.312554288,4.042347777,5.170878484,2.995637462,4.395340734,2.310509506,3.08579697,3.93270806,2.347099723,1.295836128,1.317225807,0.828735154,0.612836874,0.54437654,0.403104356,0.47260608,0.536454612,0.240941183,0.482695383,0.684430868,0.250299593,0.486223028,0.166456751,0.211352284,0.11906645,0.260824968,0.172639406,0.329119736,0.152737418,0.171219619,0.121011137,0.069942046,0.193706384,0.181083973,0.050008947,0.061264434,0.048543295,0.214313851,0.194281956,0.407911776,0.153387555,0.150228271,0.176398532,0.199918153,0.103127117,0.21092475,0.197391577,0.047206539,0.0838807,0.059403902,0.029353865,0.022456501,0.043266553,0.053211686
Argentina,Americas,https://public.flourish.studio/country-flags/svg/ar.svg,1.086346718,1.065138512,1.059406849,1.206862734,1.046801753,1.282198059,1.198408214,1.146826367,2.188737323,3.522150741,3.737304636,3.416111849,3.761085521,4.956498416,6.426521336,9.138203781,9.191412828,10.75347549,10.77648475,11.65153136,12.40123053,11.43267647,11.37216873,7.723849427,6.944524343,9.675550921,8.680181551,9.839806216,11.35244177,13.23618041,12.94226181,11.01706495,14.10342793,13.35454213,11.17450713,13.77865999,17.04222482,17.59982809,15.36150709,13.127671,13.59528242,14.25475744,11.73732775,11.30439276,12.55941832,11.87136029,11.35328744,10.22638251,10.77589707,10.832635,10.77541715,9.846169425,10.68462892,10.71953059,9.727580089
Australia,Oceania,https://public.flourish.studio/country-flags/svg/au.svg,5.269530622,4.588349041,4.479801461,4.415602414,4.632222527,4.972433088,5.357553877,5.143790217,5.116432752,5.433820928,5.735550481,5.267797927,4.802633731,5.077896117,4.742285182,4.452755219,4.547178498,4.190345799,3.969785204,4.118152581,4.340463549,4.224112722,3.993327493,4.017816686,3.811276825,3.878196741,4.13953237,4.173372728,4.171140559,3.953105801,3.727200584,3.714006155,3.618865993,3.502135832,3.458032787,3.482305683,3.356742412,3.280487444,3.234122334,3.009743897,2.960139108,2.682060677,2.301899875,2.044363362,2.198449438,2.376802744,3.247086804,2.840229639,3.137587182,2.331421603,2.217983497,2.734507245,2.088182855,2.614806019,2.005416932
Austria,Europe,https://public.flourish.studio/country-flags/svg/at.svg,23.93953096,24.66031997,24.93060528,23.94220574,21.21171003,23.62367385,18.6837856,18.56048751,19.18917673,22.62147032,23.87932333,19.89033887,24.10896118,23.11489623,24.60627953,25.61667854,28.00300738,29.01538255,28.8184971,25.48449487,27.82048394,27.65932994,30.03344429,30.42041713,30.05626838,26.565855,25.25527292,28.4993303,29.51615569,28.87532463,28.59691152,26.31711664,27.21635887,27.58324799,29.56972579,30.30279713,28.06862377,27.66958808,22.4087781,24.23780783,23.93502174,23.26216266,24.63431863,24.87811677,27.404801,24.69080762,23.41414032,28.35984558,27.18840122,27.6115873,24.84235969,25.60036872,23.83003645,23.77843699,24.55928975
Azerbaijan,Asia,https://public.flourish.studio/country-flags/svg/az.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.554791729,0.885020103,0.913268384,0.792177026,0.77683531,1.771328345,1.956357344,2.269149193,3.634610129,2.983017513,2.697292848,3.249868128,3.78146147,4.293876621,3.327006561,3.24604348,2.837158966,4.432732356,4.978563812,4.865807653,4.871664607,4.116604607,4.245698424,3.945406521,4.590097693,6.90485099,4.789682408,3.144621233,2.485985355,2.11481411,2.42252136,2.909520146,2.628067271,2.570412173,2.127025768
Bangladesh,Asia,https://public.flourish.studio/country-flags/svg/bd.svg,0,0,0,0,0,0,0,3.05951717,4.685792679,3.32872282,5.261443678,5.196309863,4.477709009,4.810885633,5.038703047,4.44008236,4.726951326,3.582894674,4.58897631,5.756863867,4.264092035,2.382995354,2.48068139,2.908926945,3.679710483,3.331966071,3.273809524,2.850508403,1.979354191,2.598600897,0.965325948,1.831672566,1.695959838,1.915999303,1.824310319,1.529980981,1.763389699,1.280513593,1.200374909,1.153095853,1.062482724,0.974423693,0.94608034,1.127120485,0.447279542,0.759064724,0.830428643,0.687027649,0.621216316,0.460702747,0.617365195,0.596317921,0.665378677,0.522458708,0.417309462
Belarus,Europe,https://public.flourish.studio/country-flags/svg/by.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013614952,0.011925866,0.011754585,0.011588691,0.011983095,0.012496689,0.01137022,0.011350607,0.015837136,0.019005219,0.022052436,0.017206292,0.022356766,0.030461433,0.021235137,0.029364877,0.033255475,0.031015924,0.029886683,0.031074492,0.033804825,0.030746401,0.031290158,0.034255264,0.041456339,0.038822319,0.036208112,0.057098804,0.123334774,0.104119813,0.104474078,0.133564821,0.371108955,0.276725233,0.273299146
Belgium,Europe,https://public.flourish.studio/country-flags/svg/be.svg,0.182991272,0.208783814,0.158309744,0.145643214,0.125092747,0.126650026,0.070321401,0.088857888,0.083297314,0.12106083,0.098218996,0.055156275,0.113183137,0.107951313,0.110081794,0.136631781,0.196957801,0.180008389,0.187619362,0.18759086,0.147028028,0.170363788,0.206873777,0.169743444,0.143118214,0.117787225,0.098021383,0.146497178,0.110885484,0.143092404,0.138567867,0.09216278,0.116537766,0.145704662,0.128785508,0.169879622,0.163129055,0.132852336,0.087269818,0.110912265,0.101295217,0.125210418,0.134011279,0.137996757,0.117681561,0.104836054,0.070251952,0.132358258,0.136497234,0.113295068,0.119420897,0.128387298,0.092163653,0.109191171,0.098105899
Brazil,Americas,https://public.flourish.studio/country-flags/svg/br.svg,26.31852535,26.38603828,26.64072963,24.38460282,23.90060017,25.16337174,24.99101124,25.4788556,24.37376245,25.28163658,26.32806794,27.4961641,29.1006051,29.16964588,30.6796226,33.32314965,34.64900064,35.83535985,37.99520271,39.13885712,39.56300526,38.30221227,37.81839393,39.11420496,39.53572728,40.41396199,41.01242687,40.05660005,40.35187251,39.67177615,39.49947276,39.13231992,38.70977199,38.93654232,38.43063674,39.03436799,34.77324759,36.16042159,37.63051002,37.49280537,38.17856693,38.13884485,38.67184022,36.79633026,39.22501922,36.47038915,36.54713454,34.4817052,31.28123802,29.17173238,28.65002124,30.80789887,29.53414093,30.92964547,31.14676542
Bulgaria,Europe,https://public.flourish.studio/country-flags/svg/bg.svg,4.646384189,4.355000049,3.770127188,2.174516613,2.750285849,2.860551965,2.770013394,2.598630721,3.068999213,2.41140158,2.573991869,2.928709997,3.321370197,2.642882219,2.898669651,3.079157069,3.046919696,2.50704107,2.738646474,2.678335335,1.851061416,1.886474904,2.042097751,2.043120862,2.136106756,1.616118335,2.586881322,2.329336885,2.0629371,1.620459782,2.379568191,3.002737913,2.999682889,3.510742138,3.565786022,3.441800302,2.131664498,2.752976292,3.666813489,3.932789356,4.949900726,4.692612097,3.264626179,3.240531327,4.51027463,6.285625311,3.387489316,3.933090627,5.357151069,5.645434989,6.492068409,4.753028811,3.316595182,6.013400442,4.12244369
Canada,Americas,https://public.flourish.studio/country-flags/svg/ca.svg,23.98058424,25.00431933,24.43773165,23.33767827,24.35162463,23.87124517,23.77944702,24.71735783,24.7726679,26.01034616,25.44834294,25.20014403,24.63528858,25.98307049,26.17415028,26.38655457,28.27272276,28.35819218,29.45639373,29.75701726,30.60611695,31.23136805,30.73459529,28.71008042,26.85521856,27.84402781,28.87730233,28.89931801,28.90069163,28.35537704,28.28861699,29.21739209,28.51048346,27.4326604,27.72104918,27.85363583,26.35527257,26.76413086,25.47978848,25.18900897,26.50025151,26.0459663,26.05366774,26.70744216,27.41440505,25.4276738,25.86884676,26.3067248,26.14986989,25.11136312,25.00707571,25.17459565,25.31032792,24.19943097,24.09811273
Chile,Americas,https://public.flourish.studio/country-flags/svg/cl.svg,15.18787982,14.93260056,14.95293247,12.55872053,13.16269953,13.3481507,13.78710611,15.91059078,16.15507268,18.57720194,20.70635738,20.34447329,20.71694351,20.3591272,20.23635244,20.71090051,20.89987831,24.98042709,26.22337142,26.00696121,28.46269716,29.11204362,30.07708424,26.38201948,20.07574635,16.16179582,21.1914826,24.41330739,23.74467631,22.28744034,22.41846545,19.36001355,19.00034907,15.91658401,13.00114945,17.28189095,19.37815493,19.89534143,19.38126908,17.0007659,19.82822224,20.35665657,15.67356528,17.07354579,17.97846481,15.37402454,13.24782824,12.6624125,12.30504426,14.43665029,14.38706959,11.36320265,12.14904712,12.58950891,11.22640185
