Country,Region,Flag,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,Africa,https://public.flourish.studio/country-flags/svg/dz.svg,4.49,3.31,4.04,5.17,3,4.4,2.31,3.09,3.93,2.35,1.3,1.32,0.83,0.61,0.54,0.4,0.47,0.54,0.24,0.48,0.68,0.25,0.49,0.17,0.21,0.12,0.26,0.17,0.33,0.15,0.17,0.12,0.07,0.19,0.18,0.05,0.06,0.05,0.21,0.19,0.41,0.15,0.15,0.18,0.2,0.11,0.22,0.21,0.06,0.11,0.09,0.14,0.23,0.27,0.27
Argentina,Americas,https://public.flourish.studio/country-flags/svg/ar.svg,1.09,1.07,1.06,1.21,1.05,1.32,1.24,1.2,2.22,3.56,3.78,3.45,3.8,4.99,6.48,9.19,9.24,10.81,10.86,11.71,12.46,11.49,11.43,7.79,7.01,9.73,8.73,9.89,11.4,13.29,12.99,11.17,14.3,13.56,11.46,14.07,17.31,17.99,15.79,13.49,13.99,14.79,12.25,11.83,13.1,12.47,11.99,11.01,11.55,11.61,11.55,10.5,11.46,11.75,11.88
Australia,Oceania,https://public.flourish.studio/country-flags/svg/au.svg,5.47,4.77,4.65,4.57,4.78,5.1,5.48,5.27,5.26,5.6,5.92,5.45,4.95,5.22,4.88,4.58,4.68,4.36,4.11,4.26,4.48,4.36,4.13,4.22,4.03,4.08,4.33,4.35,4.35,4.13,3.93,3.94,3.85,3.75,3.72,3.71,3.59,3.66,3.72,3.72,3.97,3.79,3.58,3.31,3.51,3.83,5.08,5.05,5.84,5.27,5.64,6.48,6.06,7.47,7.76
Austria,Europe,https://public.flourish.studio/country-flags/svg/at.svg,23.94,24.66,24.93,23.94,21.21,23.62,18.68,18.56,19.19,22.62,23.88,19.89,24.11,23.11,24.61,25.62,28,29.02,28.82,25.48,27.82,28.81,30.8,31.32,31,27.53,26.24,29.59,30.61,29.86,30.03,27.54,28.52,28.99,30.77,31.46,29.35,28.86,23.82,26.22,26.38,26.53,28.7,29,31.61,28.95,27.95,33.16,32.6,33.65,31.73,32.68,31.77,31.56,32.74
Azerbaijan,Asia,https://public.flourish.studio/country-flags/svg/az.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0.89,0.91,0.79,0.78,1.77,1.96,2.27,3.63,2.98,2.7,3.25,3.78,4.29,3.33,3.25,2.84,4.43,4.98,4.87,4.87,4.12,4.25,3.95,4.59,6.91,4.79,3.14,2.6,2.26,2.57,3.13,2.85,2.86,2.48
Bangladesh,Asia,https://public.flourish.studio/country-flags/svg/bd.svg,0,0,0,0,0,0,0,3.06,4.69,3.33,5.26,5.2,4.48,4.81,5.04,4.44,4.73,3.58,4.59,5.76,4.26,2.38,2.48,2.91,3.68,3.33,3.27,2.85,1.98,2.6,0.97,1.83,1.7,1.92,1.82,1.53,1.76,1.28,1.2,1.16,1.07,0.98,0.96,1.15,0.48,0.81,0.89,0.78,0.74,0.61,0.76,0.75,0.85,0.71,0.64
Belarus,Europe,https://public.flourish.studio/country-flags/svg/by.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.06,0.1,0.11,0.12,0.14,0.2,0.18,0.24,0.32,0.64,0.56,0.56
Belgium,Europe,https://public.flourish.studio/country-flags/svg/be.svg,0.18,0.21,0.16,0.15,0.13,0.13,0.07,0.09,0.14,0.18,0.14,0.08,0.24,0.23,0.26,0.28,0.35,0.2,0.2,0.2,0.17,0.23,0.28,0.26,0.24,0.25,0.23,0.27,0.22,0.25,0.27,0.22,0.22,0.28,0.32,0.39,0.4,0.42,0.42,0.52,0.74,1.03,1.2,1.49,1.95,2.18,3,3.88,4.19,4.71,5.44,4.98,5.41,5.97,6.26
Brazil,Americas,https://public.flourish.studio/country-flags/svg/br.svg,26.32,26.39,26.64,24.38,23.9,25.49,25.36,25.84,24.69,25.58,26.64,27.78,29.45,29.55,31.15,33.79,35.15,36.39,38.74,39.81,40.24,38.97,38.54,39.77,40.19,41.17,41.77,40.94,41.21,40.55,40.37,40.13,39.73,39.94,39.53,40.04,35.94,37.46,39.1,38.96,39.73,39.79,40.61,38.88,41.64,39.56,39.56,37.87,35.09,33.8,34.35,37.68,37.19,39.38,40.32
Bulgaria,Europe,https://public.flourish.studio/country-flags/svg/bg.svg,4.65,4.36,3.77,2.17,2.75,2.86,2.77,2.6,3.07,2.41,2.57,2.93,3.32,2.64,2.9,3.08,3.05,2.51,2.74,2.68,1.85,1.89,2.04,2.04,2.14,1.62,2.59,2.33,2.06,1.62,2.38,3,3,3.51,3.57,3.44,2.13,2.75,3.67,3.93,4.96,4.71,3.32,3.4,4.83,7.19,4.57,6.49,9.09,9.06,10.05,8.57,7.19,10.87,9.29
