Country,Region,Flag,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,Africa,https://public.flourish.studio/country-flags/svg/dz.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005428609,0.010112074,0.013558611,0.01363776,0.026076867,0.023760274,0.099888607,0.202081956,0.222993025,0.215997678
Argentina,Americas,https://public.flourish.studio/country-flags/svg/ar.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34756E-06,1.10592E-05,1.61214E-05,1.64801E-05,1.74986E-05,2.74772E-05,2.63633E-05,2.99732E-05,2.88188E-05,3.25237E-05,4.15263E-05,2.37607E-05,2.29633E-05,0.000461225,0.002265749,0.003992733,0.004228188,0.003786281,0.003673723,0.00422181,0.027830467,0.209866646
Australia,Oceania,https://public.flourish.studio/country-flags/svg/au.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001441679,0.003166953,0.003716437,0.004259841,0.005042952,0.005954786,0.006952447,0.007891398,0.008623545,0.009886547,0.011272929,0.01188341,0.012608955,0.013996082,0.016087299,0.017497788,0.020066321,0.024084974,0.05047296,0.169044046,0.339199614,0.402126851,0.632382989,0.797100469,0.977322986,1.159330454,1.385316464,1.849974383,2.518467992
Austria,Europe,https://public.flourish.studio/country-flags/svg/at.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000804192,0.000809731,0.000772249,0.000768161,0.0015085,0.001484639,0.001452992,0.002173494,0.003469146,0.006190806,0.01011944,0.011867772,0.013562497,0.014606105,0.016114106,0.019549231,0.032777683,0.057160683,0.119036616,0.218495581,0.404770392,0.528693277,0.62823824,0.704194821,0.789681896,0.908253958,0.814933433
Azerbaijan,Asia,https://public.flourish.studio/country-flags/svg/az.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001334087,0.004716456,0.006803666,0.052420161,0.055977855,0.057081984,0.059544674
Bangladesh,Asia,https://public.flourish.studio/country-flags/svg/bd.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000165206,0.001427319,0.002960451,0.004839132,0.006995933,0.011396924,0.018030815,0.026907173,0.046145006,0.055625224,0.080396853,0.110482561,0.135791271,0.136371433,0.143341582,0.177304965,0.179810781,0.213261828
Belarus,Europe,https://public.flourish.studio/country-flags/svg/by.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000358579,0.001722148,0.008470586,0.024456028,0.081552321,0.100784171,0.101017747
Belgium,Europe,https://public.flourish.studio/country-flags/svg/be.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000349471,0.000351667,0.000696953,0.002067347,0.014136669,0.059558886,0.188166951,0.418998198,0.796375355,0.949729617,1.107697851,1.146274591,1.073979932,1.128513376,1.358984366,1.30641068
Brazil,Americas,https://public.flourish.studio/country-flags/svg/br.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35025E-05,0.000383211,0.001257222,0.004692607,0.006895728,0.066236388,0.275238341,0.43391052
Bulgaria,Europe,https://public.flourish.studio/country-flags/svg/bg.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003899248,0.018642905,0.117291613,0.992415468,1.787029305,1.534873472,1.586034194,1.671156029,1.645296477,1.568934706,2.205592587
Canada,Americas,https://public.flourish.studio/country-flags/svg/ca.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000188195,0.000184362,0.000177923,0.0003254,0.000485839,0.000568192,0.000837846,0.001065886,0.001281848,0.001556694,0.001742636,0.001727682,0.001062047,0.001352573,0.001674695,0.00205159,0.002475951,0.008127073,0.018394603,0.039354867,0.060946878,0.100036736,0.139165946,0.189421403,0.213692606,0.229686623,0.241703333,0.272206008
Chile,Americas,https://public.flourish.studio/country-flags/svg/cl.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212127,0.004174532,0.287362879,0.828393259,1.471716743,2.219480756,2.75785488,3.391824032
China,Asia,https://public.flourish.studio/country-flags/svg/cn.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38087E-05,0.000071211,9.57682E-05,0.000115501,0.000134212,0.000191077,0.000228983,0.000275451,0.000358115,0.000416048,0.000514358,0.00068836,0.000973226,0.001107392,0.001109768,0.001077698,0.001105071,0.00121087,0.001544516,0.002705044,0.006312166,0.021651944,0.028499478,0.06364257,0.173631042,0.286965231,0.474785574,0.810953097,1.166733642,1.408925763
Colombia,Americas,https://public.flourish.studio/country-flags/svg/co.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001660105,0.002431298,0.004224576,0.00558848,0.006773941,0.008043463,0,0,0,0,0,0,0,0,0,0,0,0,0.005804902,0.057057958
Croatia,Europe,https://public.flourish.studio/country-flags/svg/hr.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12888E-05,4.05679E-05,4.61257E-05,0.00596521,0.030725098,0.094801538,0.161325933,0.178199625,0.210766741,0.191045905,0.206271512
Cyprus,Asia,https://public.flourish.studio/country-flags/svg/cy.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003467116,0.004350822,0.007784592,0.013160342,0.022192667,0.030142912,0.053896999,0.09286126,0.180728938,0.429343845,0.7570065,1.105626503,1.163664172,1.327381993,1.478097935,1.654777357
Czechia,Europe,https://public.flourish.studio/country-flags/svg/cz.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07197E-05,3.57033E-05,0.000086019,0.000894771,0.006700908,0.047789375,0.316370669,1.107800049,1.136350577,1.097580033,1.145647083,1.235171262,1.174045586,1.149831288,1.221458991,1.203065897
Denmark,Europe,https://public.flourish.studio/country-flags/svg/dk.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154387,0.000338122,0.000440383,0.00099942,0.001416908,0.001404312,0.001492748,0.001634715,0.002081336,0.002520563,0.002328501,0.002751419,0.002988805,0.004519145,0.007035816,0.01830468,0.135854877,0.643768824,0.762863264,0.79790987,0.967629133,0.966675546,1.233800581,1.249900605
Ecuador,Americas,https://public.flourish.studio/country-flags/svg/ec.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31486E-05,3.33896E-05,3.23556E-05,5.15619E-05,1.07019E-05,0,0.000093832,0.00048714,0.00528959,0.022536746,0.049240388,0.052932728,0.049107721,0.04697203,0.19963172
Egypt,Africa,https://public.flourish.studio/country-flags/svg/eg.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73858E-05,0.00041223,0.000449201,0.000420227,0.000397824,0.000386009,0.000363964,0.000409772,0.000477448,0.000664437,0.007206446,0.02619838,0.015380061,0.015665379,0.010960252,0.016768517,0.025320845,0.140928784,0.344997005,0.843476161
Estonia,Europe,https://public.flourish.studio/country-flags/svg/ee.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000444129,0.000366661,0.000705703,0.001040798,0.004663553,0.010533056,0.021319309,0.036051453,0.040729433,0.064920213,0.269958664
Finland,Europe,https://public.flourish.studio/country-flags/svg/fi.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000434349,0.000426121,0.000513251,0.000591812,0.000643491,0.000675456,0.000806174,0.000957426,0.001001886,0.001098928,0.001248235,0.001288046,0.001416012,0.001451116,0.001662048,0.001969067,0.002389163,0.002660492,0.002820746,0.00333679,0.003331781,0.00402044,0.004439907,0.005004742,0.006411073,0.009079597,0.017046693,0.038721938,0.071227206,0.146484214
France,Europe,https://public.flourish.studio/country-flags/svg/fr.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014615,0.000165104,0.000188738,0.000199273,0.000249846,0.00032636,0.000380909,0.000416901,0.000473549,0.000547505,0.000634803,0.000681419,0.000731407,0.00090835,0.00103207,0.001584472,0.003674842,0.016043778,0.055151392,0.191166924,0.368066357,0.427717217,0.55544061,0.674543536,0.766165244,0.860837546,0.946699132,1.094338328
Germany,Europe,https://public.flourish.studio/country-flags/svg/de.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61964E-05,6.82202E-05,0.000278166,0.00021027,0.00049441,0.000491733,0.00081505,0.001237973,0.002426745,0.002111041,0.004195363,0.005190551,0.011146206,0.02143039,0.037958188,0.088084626,0.148368938,0.213708557,0.301900263,0.476802407,0.810058434,1.397668672,1.847402633,2.096733206,2.532017552,2.654289162,2.553587468,2.594209197,3.07547521,3.253296663
Greece,Europe,https://public.flourish.studio/country-flags/svg/gr.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000673375,0.000666237,0.000640416,0.000625248,0.003219534,0.033073014,0.10932063,0.430248607,1.256528687,2.842986033,3.122875846,3.172335889,3.231715032,3.096277834,2.938559925,3.100613249
Hong Kong,Asia,https://public.flourish.studio/country-flags/svg/hk.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000284063,0.000545083,0.000694616,0.00087683,0.000882877,0.000798933,0.000734995,0.000595602,0.000556501,0.000562962
Hungary,Europe,https://public.flourish.studio/country-flags/svg/hu.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00090316,0.000978613,0.00095581,0.000953483,0.008166292,0.026678107,0.071061728,0.141392132,0.239322968,0.323907409,0.568843385,1.251401507
Iceland,Europe,https://public.flourish.studio/country-flags/svg/is.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Asia,https://public.flourish.studio/country-flags/svg/in.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000098185,0.000544916,0.000525941,0.000505256,0.000471506,0.000541731,0.000836927,0.000925941,0.001098794,0.001144926,0.00107268,0.000409733,0.002970645,0.003003724,0.003299535,0.004708522,0.032309794,0.077503962,0.121349115,0.161441269,0.207883505,0.348032295,0.618895645,0.976267641,1.21112532
Indonesia,Asia,https://public.flourish.studio/country-flags/svg/id.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52566E-05,1.49369E-05,8.27308E-05,0.000102505,0.000382633,0.000673642,0.000888304,0.000683882,0.00265458,0.003486406,0.002212174,0.006545812
Iran,Asia,https://public.flourish.studio/country-flags/svg/ir.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31031E-05,1.23775E-05,2.10851E-05,0.000032422,7.42972E-05,6.90598E-05,6.93555E-05,6.42808E-05,6.23923E-05,0.00013273,0.000419314,0.00683104,0.010072992,0.01232999
Iraq,Asia,https://public.flourish.studio/country-flags/svg/iq.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024256366,0.031189604,0.031087112,0.026733346,0.026967937,0.025578282,0.022944369
Ireland,Europe,https://public.flourish.studio/country-flags/svg/ie.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000626364,0.000701059,0.000835508,0.001000522,0.001100007,0.001483031,0.002378225,0.007507479,0.015079534,0.022617253,0.033820866
Israel,Asia,https://public.flourish.studio/country-flags/svg/il.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024226532,0.066256012,0.176465971,0.322801837,0.462756353,0.795979615,1.035463188,1.330843521,1.253545831,1.29664254,2.153284736
Italy,Europe,https://public.flourish.studio/country-flags/svg/it.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000307382,0.000609129,0.000742797,0.001338038,0.00166317,0.001666702,0.001893333,0.002033457,0.002149416,0.00223327,0.002299708,0.002402452,0.002506631,0.002774781,0.003051219,0.003602891,0.003821339,0.004307245,0.00485923,0.024309845,0.091026439,0.247505106,1.426844389,2.550215953,3.042127742,3.303863937,3.30970056,3.139034283,3.408043111,3.132006518,3.42010424
Japan,Asia,https://public.flourish.studio/country-flags/svg/jp.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29957E-05,5.18973E-05,0.000544645,0.001149081,0.001426434,0.00186905,0.002530741,0.00439212,0.006679619,0.009990138,0.015592854,0.02272434,0.031474715,0.043119633,0.056436985,0.070635894,0.086186726,0.100259785,0.113324431,0.14502924,0.176932389,0.253055306,0.343280614,0.602853838,1.122068378,1.659837794,2.105527937,2.586996476,3.140331516,3.597169857
Kazakhstan,Asia,https://public.flourish.studio/country-flags/svg/kz.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89647E-06,0.000272337,0.000420664,0.015798296,0.029600428,0.029186543,0.04009743,0.083597392
Kuwait,Asia,https://public.flourish.studio/country-flags/svg/kw.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102805,0.002008957,0.00285786,0.026219966,0.027849992,0.037385439,0.077489389
Latvia,Europe,https://public.flourish.studio/country-flags/svg/lv.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001194191,0.0011483,0.001183624,0.001283238,0.001244879,0.002217704,0.002318988,0.007393303,0
Lithuania,Europe,https://public.flourish.studio/country-flags/svg/lt.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000383831,0.008769757,0.184255648,0.309910587,0.296245749,0.262050824,0.246907592,0.289945311,0.326170648
Luxembourg,Europe,https://public.flourish.studio/country-flags/svg/lu.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000299125,0.000319255,0.000371121,0.008346047,0.048135278,0.090674335,0.109447504,0.112054123,0.107517471,0.113295344,0.111256152,0.138381076,0.208403141,0.419880491,0.556159922,0.625285869,0.610279914,0.632686372,0.664042037,0.651489256
Malaysia,Asia,https://public.flourish.studio/country-flags/svg/my.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001742588,0.033382271,0.052953608,0.062472029,0.066949206,0.069769319,0.102962149,0.166645618
Mexico,Americas,https://public.flourish.studio/country-flags/svg/mx.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218495,0.000422026,0.000623885,0.000822623,0.000974854,0.000993977,0.001153167,0.001132219,0.001263065,0.001247115,0.001196631,0.001372016,0.001323416,0.001299663,0.001380729,0.001287715,0.001383167,0.001228321,0.002526007,0.003593976,0.003980985,0.004994018,0.008305525,0.01263342,0.026328426,0.029168283,0.029365635,0.1353965,0.363609489,1.437814453
Morocco,Africa,https://public.flourish.studio/country-flags/svg/ma.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204111,0.000205981,0.000182869,0.000170373,0.000168889,0.000172491,0.000140568,0.000146116,0.000133532,0.000128756,0.000128319,0.000126898,0.000126815,0.006573278,0.455374777,0.447092542,0.983955479,1.485499532
Netherlands,Europe,https://public.flourish.studio/country-flags/svg/nl.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000295715,0.000293638,3.28354E-06,0.000285789,0.000546729,0.000556867,0.000966771,0.001474044,0.002130168,0.003451717,0.004473575,0.007964901,0.008256215,0.008295805,0.008671845,0.008618556,0.009441339,0.010892367,0.0136565,0.023966279,0.062293997,0.12974848,0.207901645,0.291574071,0.395684713,0.564615566,0.944125757,1.328973144
New Zealand,Oceania,https://public.flourish.studio/country-flags/svg/nz.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004009532,0.004032118,0.004175777,0.004328669,0.004621705,0.005337536,0.007581229,0.019219384,0.03716783,0.057218005,0.075812922,0.098995218,0.123433745
North Macedonia,Europe,https://public.flourish.studio/country-flags/svg/mk.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204151,0.009056073,0.023416571,0.077630394,0.131904969,0.196210973,0.197119305,0.203386881,0.195021885,0.185079317
Norway,Europe,https://public.flourish.studio/country-flags/svg/no.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265247,0.002905503,0.002778065,0.00364575,0.003557674,0.003105404,0.003854189,0.003573591,0.00362042,0.004053121,0.004388014,0.004528336,0.004255037,0.004976152,0.005699514,0.006463334,0.01134023,0.019304159,0.040357747,0.057295325
Oman,Asia,https://public.flourish.studio/country-flags/svg/om.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000965085,0.000963159,0.002796155,0.002782821,0.002492995,0.002260726,0.002210984
Pakistan,Asia,https://public.flourish.studio/country-flags/svg/pk.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00379E-05,0.000569609,0.001916807,0.004756478,0.009455189,0.024714075,0.046277305,0.078609277,0.114573144,0.18724158,0.237461382,0.262586268,0.290503341
Peru,Americas,https://public.flourish.studio/country-flags/svg/pe.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061326062,0.196503671,0.193226614,0.20852978,0.204745847,0.241378468,0.593124937,0.593309315
Philippines,Asia,https://public.flourish.studio/country-flags/svg/ph.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001299559,0.001219189,0.001108114,0.001063451,0.001018938,0.000977136,0.000919234,0.000962707,0.000966457,0.010555033,0.080345956,0.579206544,0.574440689,0.577696612,0.592939804
