Country,Region,Flag,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,Africa,https://public.flourish.studio/country-flags/svg/dz.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000432066,0.00778498,0.007770721,0.007620474,0.003700842,0.003511214
Argentina,Americas,https://public.flourish.studio/country-flags/svg/ar.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004084044,0.006231952,0.013400996,0.014647858,0.014073966,0.020072787,0.031153308,0.030642528,0.026864219,0.024777842,0.022757221,0.019156464,0.012748561,0.011343347,0.00742173,0.007617069,0.102570106,0.120030711,0.164219795,0.153058867,0.140883931,0.157291814,0.363619892,1.311111262
Australia,Oceania,https://public.flourish.studio/country-flags/svg/au.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050972,0.001345708,0.001669657,0.001628048,0.001701322,0.0039902,0.00913208,0.028338158,0.059750146,0.108747623,0.140463246,0.152533768,0.248638079,0.388012098,0.503124879,0.59841198,0.77172287,0.861950237,1.067099541,1.287905634,1.521866911,1.573757452,1.864182399,2.020372112,2.040716135,2.472535243,2.739262956
Austria,Europe,https://public.flourish.studio/country-flags/svg/at.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000772249,0.003845243,0.015076281,0.033399017,0.037053411,0.048530139,0.119335355,0.139629809,0.246924044,0.609204981,0.858983233,1.143528814,1.354348563,1.305425512,1.309411314,1.328340781,1.324079625,1.593978733,2.038963429,2.589296777,3.245009004,3.363400766,4.089457822,3.809824738,4.483223047
Azerbaijan,Asia,https://public.flourish.studio/country-flags/svg/az.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004173314,0.000999416,0,0,0.001334087,0.003743991,0.006803666,0.033856364,0.033257223,0.11951304,0.183047189
Bangladesh,Asia,https://public.flourish.studio/country-flags/svg/bd.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002057627,0.002035165,0.003437529,0.005488825,0.005304024,0.004882293,0.004509688,0.004325665,0.004147806,0.003481462,0.003430035,0.003302537,0.003057606,0.002570626
Belarus,Europe,https://public.flourish.studio/country-flags/svg/by.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000950065,0.000938003,0.000878915,0.000893457,0.000877534,0.000920884,0.00086348,0.003448541,0.00475775,0.007148555,0.007743289,0.036705875,0.068665546,0.088881466,0.084554752,0.089703399
Belgium,Europe,https://public.flourish.studio/country-flags/svg/be.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002892664,0.003781946,0.003284105,0.003099538,0.003424963,0.003867043,0.003492306,0.003722655,0.00368913,0.003085036,0.003057383,0.004120435,0.004909262,0.005909486,0.013686066,0.021035348,0.031091545,0.049683092,0.079839403,0.127651831,0.16915202,0.214400189,0.357351828,0.434127865,0.828678115,1.019939133,1.316474387,1.771312743,2.090612942,1.886847255,2.222598455,2.599929311,3.155344624
Brazil,Americas,https://public.flourish.studio/country-flags/svg/br.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296676,0.000551272,0.000669546,0.000260373,0.000129103,0.004534148,0.00771334,0.007510363,0.007126111,0.010513681,0.025916642,0.068532725,0.117788633,0.124198062,0.196832328,0.230785249,0.419253399,0.526099088,0.953820504,1.722276959,2.708562459,3.374050905,3.85457658,4.355214126
Bulgaria,Europe,https://public.flourish.studio/country-flags/svg/bg.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001243126,0.005707814,0.022146906,0.053389119,0.139994512,0.308051703,0.84645233,0.999873717,1.488624937,1.80410019,1.631722168,1.665161935,1.718179121,1.763857314,1.540131523,1.574870568
